"Key","Email","Password","Role","Note"
"athlete.anna","atleta.anna@clubmanager.test","Test1234!","athlete","Atleta con account"
"athlete.giulia","atleta.giulia@clubmanager.test","Test1234!","athlete","Atleta con account e genitore"
"athlete.luca","atleta.luca@clubmanager.test","Test1234!","athlete","Atleta con account su piÃ¹ squadre"
"athlete.marco","atleta.marco@clubmanager.test","Test1234!","athlete","Atleta con account"
"coach.blu","coach.blu@clubmanager.test","Test1234!","coach","Allenatore su Juniores e Prima Squadra"
"coach.neri","coach.neri@clubmanager.test","Test1234!","coach","Allenatrice su Under 14"
"coach.verdi","coach.verdi@clubmanager.test","Test1234!","coach","Allenatore su Under 10 e Under 12"
"admin","admin.demo@clubmanager.test","Test1234!","owner","Unico admin/proprietario club"
"parent.elena","genitore.elena@clubmanager.test","Test1234!","parent","Madre di Anna"
"parent.giulia","genitore.giulia@clubmanager.test","Test1234!","parent","Madre di Emma e Luca"
"parent.luca","genitore.luca@clubmanager.test","Test1234!","parent","Padre di Giulia e Matteo"
"parent.mario","genitore.mario@clubmanager.test","Test1234!","parent","Padre di Emma e Luca"
"parent.sara","genitore.sara@clubmanager.test","Test1234!","parent","Madre di Sofia"
"guardian.paolo","tutore.paolo@clubmanager.test","Test1234!","parent","Tutore di Francesco e Andrea"
"staff.medico","staff.medico@clubmanager.test","Test1234!","staff","Staff medico"
"staff.segreteria","staff.segreteria@clubmanager.test","Test1234!","staff","Staff segreteria"
"manager.bianchi","manager.bianchi@clubmanager.test","Test1234!","team_manager","Manager su Under 14 e Juniores"
"manager.rossi","manager.rossi@clubmanager.test","Test1234!","team_manager","Manager su Under 10 e Under 12"
